Disease,Description
Gestational diabetes,"Gestational diabetes is high blood sugar during pregnancy."
Preeclampsia,"Preeclampsia is a pregnancy complication marked by high blood pressure."
Premenstrual syndrome (PMS),"PMS is a group of symptoms related to menstrual cycle including cramps."
Endometrial cancer,"Endometrial cancer is cancer of the uterus lining."
Breast cancer,"Breast cancer is cancer that forms in the cells of the breasts."
Prostate cancer,"Prostate cancer is cancer in a man's prostate."
Colon cancer,"Colon cancer affects the large intestine."
Lung cancer,"Lung cancer is cancer in lung tissues."
Skin melanoma,"Melanoma is the most serious form of skin cancer caused by pigment-producing cells."
Thyroid cancer,"Thyroid cancer occurs in the thyroid gland at the base of the neck."
Kidney cancer,"Kidney cancer, also known as renal cancer, starts in the kidneys."
Bladder cancer,"Bladder cancer is cancer that begins in the bladder."
Pancreatic cancer,"Pancreatic cancer is a type of cancer that begins in the pancreas."
Liver cancer,"Liver cancer is a type of cancer that starts in the liver."
Esophageal cancer,"Esophageal cancer is cancer that occurs in the esophagus."
Stomach cancer,"Stomach cancer develops in the lining of the stomach."
Ovarian cancer,"Ovarian cancer is cancer that begins in the ovaries."
Cystic fibrosis,"Cystic fibrosis is an inherited disorder that causes severe damage to the lungs and digestive system."
Bronchitis,"Bronchitis is inflammation of the bronchial tubes that carry air to and from the lungs."
Whooping cough,"Whooping cough is a highly contagious respiratory tract infection marked by severe coughing."
Tonsillitis,"Tonsillitis is inflammation of the tonsils caused by viral or bacterial infection."
Sinusitis,"Sinusitis is inflammation of the sinuses resulting in nasal congestion and facial pain."
Laryngitis,"Laryngitis is inflammation of the voice box from overuse or infection."
Scabies,"Scabies is a skin infestation caused by a mite known as Sarcoptes scabiei."
Tetanus,"Tetanus is a serious bacterial infection that causes painful muscle stiffness and lockjaw."
Rabies,"Rabies is a deadly virus spread to people from the saliva of infected animals."
Shingles,"Shingles is a viral infection causing a painful rash."
Zika virus,"Zika virus is a mosquito-borne virus that can cause birth defects during pregnancy."
Ebola,"Ebola is a rare but deadly virus that causes bleeding inside and outside the body."
Marburg virus,"Marburg virus causes severe viral hemorrhagic fever in humans."
Chikungunya,"Chikungunya is a viral disease transmitted by mosquitoes causing fever and joint pain."
Hantavirus,"Hantavirus is a life-threatening disease spread by rodents."
Legionnaires' disease,"Legionnaires' disease is a severe form of pneumonia caused by Legionella bacteria."
Botulism,"Botulism is a rare but serious illness caused by a toxin that attacks the body’s nerves."
Toxoplasmosis,"Toxoplasmosis is an infection caused by a parasite found in cat feces or undercooked meat."
Leptospirosis,"Leptospirosis is a bacterial infection that affects humans and animals."
Anthrax,"Anthrax is a rare but serious illness caused by Bacillus anthracis bacteria."
Q fever,"Q fever is a bacterial infection caused by Coxiella burnetii."
Brucellosis,"Brucellosis is a bacterial infection spread from animals to humans."
Cat scratch disease,"Cat scratch disease is a bacterial infection spread by cat scratches or bites."
Filariasis,"Filariasis is a parasitic disease caused by infection with roundworms transmitted by mosquitoes."
Onchocerciasis,"Onchocerciasis or river blindness is caused by a parasitic worm and spread by blackflies."
Ascariasis,"Ascariasis is a parasitic roundworm infection in the intestines."
Trichuriasis,"Trichuriasis is an infection caused by the whipworm parasite in the intestines."
Strongyloidiasis,"Strongyloidiasis is an intestinal infection caused by the parasite Strongyloides stercoralis."
Candidiasis,"Candidiasis is a fungal infection caused by yeasts from the genus Candida."
Histoplasmosis,"Histoplasmosis is a fungal infection from breathing in spores often found in bird droppings."
Blastomycosis,"Blastomycosis is a fungal infection caused by inhaling Blastomyces spores from soil."
Coccidioidomycosis,"Coccidioidomycosis or valley fever is a fungal infection caused by Coccidioides spores."
Tinea corporis,"Tinea corporis (ringworm) is a fungal skin infection that forms a circular rash."
Tinea pedis,"Tinea pedis (athlete's foot) is a fungal infection that affects the feet."
Tinea capitis,"Tinea capitis is a fungal infection of the scalp."
Tinea cruris,"Tinea cruris (jock itch) is a fungal infection in the groin area."
Pediculosis,"Pediculosis is an infestation with lice on the body."
Giardiasis,"Giardiasis is an intestinal infection caused by the Giardia parasite."
Amoebiasis,"Amoebiasis is an infection caused by the Entamoeba histolytica parasite."
Cryptosporidiosis,"Cryptosporidiosis is a diarrheal disease caused by microscopic parasites in water."
Norovirus infection,"Norovirus is a highly contagious virus that causes vomiting and diarrhea."
Rotavirus infection,"Rotavirus infection is a common cause of diarrhea in infants and young children."
Salmonellosis,"Salmonellosis is an infection with Salmonella bacteria."
Shigellosis,"Shigellosis is a bacterial infection that causes diarrhea."
Campylobacteriosis,"Campylobacteriosis is a common bacterial infection causing gastrointestinal illness."
Toxocariasis,"Toxocariasis is a parasitic disease caused by roundworms found in dogs and cats."
Hydatid disease,"Hydatid disease is caused by tapeworm larvae forming cysts in the liver or lungs."
Trichinellosis,"Trichinellosis is caused by eating undercooked meat infected with Trichinella larvae."
Whipple's disease,"Whipple's disease is a rare bacterial infection that affects the small intestine."
