,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
122,Typhus,maintain hygiene,avoid contact with lice or fleas,consult doctor,take antibiotics
123,Yellow Fever,avoid mosquito bites,get vaccinated,rest and hydrate,consult doctor
124,Zika Virus,avoid mosquito bites,rest and fluids,avoid pregnancy during infection,consult doctor
125,Chikungunya,avoid mosquito bites,take rest and fluids,use paracetamol for pain,consult doctor
126,Swine Flu,wear mask,maintain distance,avoid crowded areas,consult doctor
127,H1N1 Flu,wear mask,avoid close contact,rest and hydrate,consult doctor
128,Ebola,avoid contact with infected individuals,practice strict hygiene,wear protective gear,seek emergency care
129,Marburg Virus,avoid contact with bodily fluids,isolate patient,wear PPE,seek urgent medical care
130,Lassa Fever,store food safely,avoid rodents,wear gloves while cleaning,consult doctor
131,Nipah Virus,avoid eating raw date palm sap,avoid contact with infected bats or pigs,isolate patients,consult doctor
132,Crimean-Congo Hemorrhagic Fever,avoid contact with ticks and infected animals,wear protective clothing,maintain hygiene,consult doctor
133,Leptospirosis,avoid contact with contaminated water,wear protective clothing,maintain hygiene,consult doctor
134,Chagas Disease,avoid contact with triatomine bugs,wear protective clothing,maintain hygiene,consult doctor
135,Schistosomiasis,avoid swimming in contaminated water,wear protective clothing,maintain hygiene,consult doctor
136,Filariasis,avoid mosquito bites,sleep under nets,maintain hygiene,consult   doctor
137,Onchocerciasis,avoid contact with blackflies,use insect repellent,maintain hygiene,consult doctor
138,Syphilis,practice safe sex,get tested regularly,avoid multiple partners,complete antibiotic treatment
139,Gonorrhea,practice safe sex,get tested regularly,inform sexual partners,complete full antibiotic course
140,Trichomoniasis,avoid unprotected sex,get regular screenings,avoid sharing towels or undergarments,consult doctor
141,Bacterial Vaginosis,maintain vaginal hygiene,avoid scented soaps or sprays,avoid douching,consult doctor
142,Candidiasis,keep affected area dry and clean,avoid tight-fitting clothing,reduce sugar intake,consult doctor
143,Autism Spectrum Disorder,follow structured routines,provide behavioral therapy,support with communication aids,consult specialist
144,Bipolar Disorder,take medications regularly,follow a sleep schedule,avoid substance abuse,consult psychiatrist
145,Schizophrenia,take prescribed medications,attend therapy sessions,avoid stress and alcohol,consult psychiatrist
146,ADHD,follow structured routines,limit distractions,attend behavioral therapy,consult specialist
147,Anorexia Nervosa,seek psychological counseling,monitor eating habits,avoid isolation,consult dietitian and therapist
148,Bulimia Nervosa,develop healthy eating habits,avoid self-induced vomiting,seek mental health support,consult doctor
149,Gallstones,avoid fatty foods,maintain healthy weight,eat regular meals,consult gastroenterologist
150,Kidney Stones,drink plenty of fluids,limit salt intake,avoid oxalate-rich foods,consult urologist
151,Cystitis,drink more water,maintain genital hygiene,urinate frequently,consult doctor
152,Hemophilia,avoid contact sports,inform doctors before surgeries,use safety gear,regular check-ups
153,Sickle Cell Anemia,stay hydrated,avoid extreme temperatures,manage pain with medication,regular doctor visits
154,Thalassemia,get regular blood transfusions,avoid iron-rich foods if iron overload occurs,take folic acid,consult hematologist
155,Pneumothorax,avoid high altitudes or flying after recent collapse,do not smoke,seek emergency care if symptoms worsen,regular follow-up
156,Appendicitis,avoid self-medication for pain,seek immediate care for abdominal pain,avoid heavy meals if in pain,consult surgeon
157,Pancreatitis,avoid alcohol,consume low-fat meals,stay hydrated,consult doctor
158,Celiac Disease,follow gluten-free diet,read food labels,avoid cross-contamination,consult dietitian
159,Crohn’s Disease,eat low-fiber foods during flare-up,avoid smoking,manage stress,consult gastroenterologist
160,Irritable Bowel Syndrome (IBS),eat smaller meals,avoid trigger foods,manage stress,consult doctor
