Disease,Diet
COPD,"['Anti-Inflammatory Diet', 'Small frequent meals', 'Omega-3-rich foods', 'Fruits and vegetables', 'High-protein snacks']"
Epilepsy,"['Ketogenic Diet (if prescribed)', 'Low-sugar foods', 'Folate-rich foods', 'Avoid alcohol', 'Hydration']"
Parkinson's disease,"['High-Fiber Diet', 'Adequate hydration', 'Antioxidant-rich foods', 'Low-protein at medication times', 'Omega-3s']"
Alzheimer's disease,"['MIND Diet', 'Leafy greens', 'Berries', 'Whole grains', 'Nuts and seeds']"
Rheumatoid arthritis,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Turmeric', 'Fruits and vegetables', 'Whole grains']"
Stroke,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Psoriatic arthritis,"['Anti-Inflammatory Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Omega-3s']"
Endometriosis,"['Anti-Inflammatory Diet', 'Low-FODMAP foods', 'Leafy greens', 'Omega-3s', 'Avoid processed foods']"
Polycystic ovary syndrome (PCOS),"['Low-Glycemic Diet', 'High-fiber foods', 'Lean proteins', 'Omega-3s', 'Limit processed sugars']"
Chronic kidney disease,"['Low-Protein Diet', 'Low-Sodium Diet', 'Potassium-controlled foods', 'Phosphorus-restricted diet', 'Fluid control']"
Glaucoma,"['Leafy greens', 'Omega-3-rich foods', 'Fruits and vegetables', 'Green tea', 'Avoid trans fats']"
Macular degeneration,"['Lutein-rich foods', 'Leafy greens', 'Omega-3s', 'Vitamin C & E-rich foods', 'Zinc-rich foods']"
Cataract,"['Antioxidant-rich foods', 'Vitamin C-rich foods', 'Leafy greens', 'Hydration', 'Omega-3s']"
Otitis media,"['Hydration', 'Warm fluids', 'Vitamin C-rich foods', 'Lean proteins', 'Avoid allergens']"
Eczema,"['Anti-Inflammatory Diet', 'Probiotics', 'Omega-3s', 'Hydration', 'Avoid trigger foods']"
Influenza,"['Flu Diet', 'Warm soups', 'Vitamin C-rich foods', 'Hydration', 'Ginger tea']"
COVID-19,"['Immunity-Boosting Diet', 'Hydration', 'Protein-rich foods', 'Fruits and vegetables', 'Vitamin C and Zinc-rich foods']"
Mononucleosis,"['Bland Diet', 'Hydration', 'Soft foods', 'Protein-rich foods', 'Avoid alcohol']"
Lyme disease,"['Anti-Inflammatory Diet', 'Antioxidant-rich foods', 'Omega-3s', 'Hydration', 'Fruits and vegetables']"
Meningitis,"['Hydration', 'Soft foods', 'Fruits and vegetables', 'Vitamin B-rich foods', 'Lean proteins']"
Sepsis,"['High-Calorie Diet', 'Hydration', 'Protein-rich foods', 'Vitamin C and E-rich foods', 'Zinc']"
Atherosclerosis,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Heart failure,"['Low-Sodium Diet', 'Fluid restriction (if needed)', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Cardiomyopathy,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Arrhythmia,"['Heart-Healthy Diet', 'Low-sodium foods', 'Magnesium-rich foods', 'Potassium-rich foods', 'Avoid caffeine']"
Angina,"['Low-Cholesterol Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Limit saturated fats']"
Peripheral artery disease,"['Anti-Inflammatory Diet', 'High-fiber foods', 'Omega-3-rich foods', 'Whole grains', 'Low-sodium foods']"
Deep vein thrombosis,"['Hydration', 'Anti-Inflammatory Diet', 'Vitamin K moderation', 'Whole grains', 'Fruits and vegetables']"
Hemophilia,"['Iron-rich foods', 'Vitamin C-rich foods', 'Fruits and vegetables', 'Avoid alcohol', 'Soft foods to prevent mouth injury']"
Sickle cell disease,"['Hydration', 'Folate-rich foods', 'Iron-rich foods', 'Lean proteins', 'Vitamin B12-rich foods']"
Thalassemia,"['Folic acid-rich foods', 'Avoid iron-rich foods (unless prescribed)', 'Hydration', 'Vitamin D', 'Calcium-rich foods']"
Leukemia,"['Balanced Diet', 'Protein-rich foods', 'Soft foods', 'Fruits and vegetables', 'Hydration']"
Lymphoma,"['Immune-supporting foods', 'Protein-rich foods', 'Soft foods', 'Hydration', 'Antioxidant-rich foods']"
Multiple sclerosis,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Vitamin D', 'Whole grains', 'Fruits and vegetables']"
Amyotrophic lateral sclerosis (ALS),"['High-Calorie Diet', 'Easy-to-swallow foods', 'Hydration', 'Protein-rich foods', 'Fruits and vegetables']"
Myasthenia gravis,"['Balanced Diet', 'Small frequent meals', 'Soft foods', 'Hydration', 'Avoid magnesium-rich supplements']"
Huntington's disease,"['High-Calorie Diet', 'Easy-to-swallow foods', 'Hydration', 'Antioxidant-rich foods', 'Soft proteins']"
Tubal pregnancy,"['Balanced Diet', 'Iron-rich foods', 'Hydration', 'Protein-rich foods', 'Avoid heavy meals post-surgery']"
Gestational diabetes,"['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Whole grains', 'Limit sugar intake']"
Preeclampsia,"['Low-Sodium Diet', 'Calcium-rich foods', 'Hydration', 'Fruits and vegetables', 'Whole grains']"
Premenstrual syndrome (PMS),"['Magnesium-rich foods', 'Vitamin B6-rich foods', 'Omega-3s', 'Whole grains', 'Limit sugar and salt']"
Endometrial cancer,"['Antioxidant-rich foods', 'Whole grains', 'Fruits and vegetables', 'Lean proteins', 'Limit red meats']"
Breast cancer,"['Anti-Cancer Diet', 'Cruciferous vegetables', 'Berries', 'Whole grains', 'Limit alcohol and red meat']"
Prostate cancer,"['Plant-Based Diet', 'Tomatoes (lycopene)', 'Whole grains', 'Fruits and vegetables', 'Low-fat dairy']"
Colon cancer,"['High-Fiber Diet', 'Fruits and vegetables', 'Whole grains', 'Limit processed meats', 'Hydration']"
Lung cancer,"['Anti-Cancer Diet', 'Antioxidant-rich foods', 'Fruits and vegetables', 'Lean proteins', 'Hydration']"
Skin melanoma,"['Antioxidant-rich foods', 'Omega-3-rich foods', 'Leafy greens', 'Vitamin D-rich foods', 'Fruits and vegetables']"
Thyroid cancer,"['Thyroid-Supportive Diet', 'Lean proteins', 'Low-iodine foods (post-treatment)', 'Fruits and vegetables', 'Whole grains']"
Kidney cancer,"['Kidney-Friendly Diet', 'Low-sodium foods', 'Hydration', 'Fruits and vegetables', 'Lean proteins']"
Bladder cancer,"['Hydration', 'Fruits and vegetables', 'Whole grains', 'Avoid processed meats', 'Cranberry juice (optional)']"
Pancreatic cancer,"['Easily digestible foods', 'Small frequent meals', 'Hydration', 'Antioxidant-rich foods', 'Lean proteins']"
Liver cancer,"['Liver-Healthy Diet', 'Low-fat foods', 'Fruits and vegetables', 'Whole grains', 'Limit alcohol and red meat']"
Esophageal cancer,"['Soft foods', 'Small frequent meals', 'Avoid acidic/spicy foods', 'Hydration', 'Nutrient-dense smoothies']"
Stomach cancer,"['Soft foods', 'Antioxidant-rich foods', 'Low-sodium diet', 'Small frequent meals', 'Limit fried foods']"
Ovarian cancer,"['Balanced Diet', 'Antioxidant-rich foods', 'Whole grains', 'Fruits and vegetables', 'Lean proteins']"
Cystic fibrosis,"['High-Calorie Diet', 'High-Salt foods', 'Vitamin A, D, E, K-rich foods', 'Enzyme supplements with meals', 'Hydration']"
Bronchitis,"['Warm fluids', 'Hydration', 'Fruits and vegetables', 'Vitamin C-rich foods', 'Lean proteins']"
Whooping cough,"['Hydration', 'Soft foods', 'Warm soups', 'Avoid irritants', 'Fruits and vegetables']"
Tonsillitis,"['Soft foods', 'Hydration', 'Warm fluids', 'Avoid spicy foods', 'Vitamin C-rich fruits']"
Sinusitis,"['Warm fluids', 'Hydration', 'Spicy foods (to drain sinuses)', 'Vitamin C-rich foods', 'Lean proteins']"
Laryngitis,"['Warm liquids', 'Honey and lemon tea', 'Avoid alcohol and caffeine', 'Hydration', 'Soft foods']"
Scabies,"['Immune-supportive foods', 'Probiotics', 'Fruits and vegetables', 'Hydration', 'Avoid allergens']"
Tetanus,"['Soft foods', 'Hydration', 'High-Calorie Diet', 'Vitamin B-rich foods', 'Protein-rich foods']"
Rabies,"['Hydration', 'Soft foods', 'Antioxidant-rich foods', 'High-calorie diet during treatment', 'Immune-boosting foods']"
Shingles,"['Anti-Inflammatory Diet', 'Vitamin B12-rich foods', 'Omega-3-rich foods', 'Hydration', 'Fruits and vegetables']"
Zika virus,"['Hydration', 'Vitamin C-rich foods', 'Immune-boosting foods', 'Fruits and vegetables', 'Whole grains']"
Ebola,"['Hydration', 'High-Calorie Diet', 'Soft foods', 'Lean proteins', 'Oral rehydration solutions']"
Marburg virus,"['Hydration', 'High-Calorie Diet', 'Oral rehydration solutions', 'Soft foods', 'Lean proteins']"
Chikungunya,"['Anti-Inflammatory Diet', 'Hydration', 'Protein-rich foods', 'Fruits and vegetables', 'Pain-relieving teas']"
Hantavirus,"['Hydration', 'Soft foods', 'High-Calorie Diet', 'Electrolyte balance', 'Fruits and vegetables']"
Legionnaires' disease,"['Hydration', 'Low-sodium diet', 'Soft foods', 'Lean proteins', 'Vitamin C-rich foods']"
Botulism,"['Soft foods', 'Hydration', 'High-Calorie Diet', 'Lean proteins', 'Vitamin-rich foods']"
Toxoplasmosis,"['Immune-boosting foods', 'Folate-rich foods', 'Hydration', 'Lean proteins', 'Avoid raw/undercooked meat']"
Leptospirosis,"['Hydration', 'Oral rehydration solutions', 'Soft foods', 'Vitamin-rich diet', 'Lean proteins']"
Anthrax,"['Hydration', 'High-Calorie Diet', 'Protein-rich foods', 'Vitamin C-rich fruits', 'Immune-boosting foods']"
Q fever,"['Balanced Diet', 'Hydration', 'Lean proteins', 'Vitamin-rich foods', 'Avoid dairy from unknown sources']"
Brucellosis,"['Hydration', 'Lean proteins', 'Vitamin C-rich foods', 'Immune-boosting diet', 'Avoid unpasteurized milk']"
Cat scratch disease,"['Vitamin C-rich foods', 'Hydration', 'Immune-supporting foods', 'Fruits and vegetables', 'Lean proteins']"
Filariasis,"['Hydration', 'Anti-Inflammatory Diet', 'Fruits and vegetables', 'Lean proteins', 'Avoid salty foods']"
Onchocerciasis,"['Hydration', 'Vitamin A-rich foods', 'Anti-Inflammatory Diet', 'Fruits and vegetables', 'Lean proteins']"
Ascariasis,"['Anti-parasitic diet', 'Fiber-rich foods', 'Hydration', 'Garlic and turmeric', 'Avoid sugars']"
Trichuriasis,"['Fiber-rich foods', 'Hydration', 'Immune-supportive foods', 'Garlic', 'Probiotics']"
Strongyloidiasis,"['Anti-parasitic diet', 'Fiber-rich foods', 'Hydration', 'Probiotics', 'Vitamin A-rich foods']"
Candidiasis,"['Anti-fungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Low-sugar diet']"
Histoplasmosis,"['Immune-boosting diet', 'Vitamin C-rich foods', 'Fruits and vegetables', 'Lean proteins', 'Hydration']"
Blastomycosis,"['Immune-supportive foods', 'Hydration', 'Vitamin-rich foods', 'Lean proteins', 'Whole grains']"
Coccidioidomycosis,"['Anti-fungal diet', 'Hydration', 'Immune-supporting foods', 'Lean proteins', 'Fruits and vegetables']"
Tinea corporis,"['Anti-fungal Diet', 'Hydration', 'Garlic', 'Probiotics', 'Coconut oil']"
Tinea pedis,"['Anti-fungal Diet', 'Hydration', 'Garlic', 'Probiotics', 'Coconut oil']"
Tinea capitis,"['Anti-fungal Diet', 'Hydration', 'Garlic', 'Probiotics', 'Coconut oil']"
Tinea cruris,"['Anti-fungal Diet', 'Hydration', 'Garlic', 'Probiotics', 'Coconut oil']"
Pediculosis,"['Immune-supporting foods', 'Hydration', 'Fruits and vegetables', 'Probiotics', 'Avoid allergens']"
Giardiasis,"['Anti-parasitic Diet', 'Hydration', 'Probiotics', 'Garlic', 'Low-sugar foods']"
Amoebiasis,"['Hydration', 'Bland Diet', 'Boiled vegetables', 'Bananas', 'Avoid raw salads']"
Cryptosporidiosis,"['Hydration', 'BRAT Diet (Banana, Rice, Applesauce, Toast)', 'Avoid dairy', 'Oral rehydration salts', 'Probiotics']"
Norovirus infection,"['Hydration', 'BRAT Diet', 'Oral rehydration solutions', 'Small frequent meals', 'Avoid greasy food']"
Rotavirus infection,"['Hydration', 'BRAT Diet', 'Oral rehydration salts', 'Probiotics', 'Small frequent meals']"
Salmonellosis,"['Hydration', 'Bland Diet', 'Oral rehydration solutions', 'Probiotics', 'Avoid dairy and fried foods']"
Shigellosis,"['Hydration', 'BRAT Diet', 'Avoid dairy and high-fat foods', 'Probiotics', 'Oral rehydration']"
Campylobacteriosis,"['Hydration', 'Bland Diet', 'Avoid spicy foods', 'Probiotics', 'Fruits and vegetables']"
Toxocariasis,"['Anti-parasitic Diet', 'Hydration', 'Vitamin-rich foods', 'Lean proteins', 'Avoid raw meat']"
Hydatid disease,"['Low-fat Diet', 'Hydration', 'Vitamin-rich foods', 'Avoid raw meat', 'Fruits and vegetables']"
Trichinellosis,"['High-protein Diet', 'Hydration', 'Cooked meat only', 'Vitamin-rich foods', 'Anti-inflammatory foods']"
Whipple's disease,"['High-Calorie Diet', 'Easy-to-digest foods', 'Vitamin and mineral supplements', 'Hydration', 'Small frequent meals']"
